"Collection Name","Title#1","State#1","County#1","USGS Quadrangle#1","Name#1","Name Part#1","Name Part Date#1","Name Role Term Text#1","Name Type#1","Name Authority#1","Type of Resource#1","Date Issued#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Geographic Note#1","Mine Note#1","Commodity Note#1","Landmark Note#1","Note#1","Commodity Note#2","Landmark Note#2","Note#2","Subject Topic#1","Subject Authority#1","Scale#1","Coordinates#1","Meridian#1","Public Land Survey Location#1","Geo-Location Point#1","Longitude (DD)#1","Latitude (DD)#1","Longitude (DMS)#1","Latitude (DMS)#1","Classification#1","Classification Authority#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item#2","Related Item Type#2","Related Item Identifier#2","Identifier ARK#1","Identifier#2","Identifier Type#2","Physical Location#1","Physical Location Type#1","Rights#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Mining Maps of Colorado","The Boulder Mines Inc. & Claims","CO","Boulder county","Gold Hill","Belser, Carl","Belser, Carl","","Cartographer","personal","","cartographic","1836","English","eng","iso639-2b","image/jpeg","104 x 124 cm","reformatted digital","","Seaton, Success No.1, Western (extension), Monumental City, Mayflower, Comet, Pennsylvania, Milan, Armistice, Hillside, Cyclops, H.C., Melbourne, Champaign, Lincoln, Belford, Little Belle, Betty B.","","","","","Black Tiger Creek, Bummer Gulch, Old Road, Livingstone Dike, Iron Dike","","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 60'","W 105° 23' 07""/N 40° 00' 29""","6th","Sec.31, T.1N.R.71W.","Center Section 31","-105.3854","40.0083","W 105° 23' 07""","N 40° 00' 29""","598","Local Accession Number","","","","","","","https://ark.colorado.edu/ark:/47540/g25j1m6740xg","433185","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100226","4844","mesc_miningMaps_43318500.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100226~142348"
"Mining Maps of Colorado","Drumm's Mining Map of Magnolia and Vicinity","CO","Boulder county","Tungsten","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1904","English","eng","iso639-2b","image/jpeg","52.5 x 79.5 cm, on sheet 56.5 x 83 cm","reformatted digital","Magnolia","American (mine shaft), Augusta (mine shaft), Rocky Mtn. Mammoth, Mystic, Leroy, Cyclone, Zephyr, Anna Eliza, First Chance, Bull Domingo, Homestake, Eagle Rock, Dove, Snow Flake, Lodi, Pasadena, Dardanelle, Martin Chuzzlewit, Potosi, Telephone (mine shaft), Magnolia (mine shaft), Lovina, Eskimo, Sister Emma (mine shaft), Brown Bear, Fortune (extension), Pactolus, Bessie, Acme, Bessemer, The Little Nell (mine shaft), Heilner (mine shaft), Marchioness (mine shaft), Adelaide (mine shaft), Bituminous, Iron Age, Graphic, Pick Wick, Dunraven, Sac & Fox, Boodle, Grand Duchess, Mountain Lion, May Blossom, The Eclipse (mine shaft), Fortune (extension)","","","","","Boulder Falls, Boulder Creek, North Boulder Creek, Coburn Mill, Wheelman Tunnel, Sylvanite Tunnel, Wagon Road","Several mines were drawn in pencil on top of the original map","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 600'","W 105° 22' 48""/N 39° 59' 35""","6th","Sec.6, T.1S.R.71W.","Center Section 6","-105.3802","39.9933","W 105° 22' 48""","N 39° 59' 35""","297","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 19-53","","","","https://ark.colorado.edu/ark:/47540/w36m0c8724c2","433192","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100302","4844","mesc_miningMaps_43319200.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100302~141500"
"Mining Maps of Colorado","Map of the Gladys Mine and Adjoining Claims","CO","Boulder county","Sugarloaf","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1905","English","eng","iso639-2b","image/jpeg","54.5 x 40.5 cm, on sheet 57.5 x 43.5 cm","reformatted digital","","Gladys, National, Plymouth, Alpine, London, Kentucky, Cornucopia, Augusta, Josephine","","","","","Alpine Gulch, Discovery Shaft","","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 100'","W 105° 23' 12""/N 40° 02' 12""","6th","Sec.19, T.1N.R.71W.","Center Section 19","-105.3869","40.0367","W 105° 23' 12""","N 40° 02' 12""","70","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 19-34, Box 1","","","","https://ark.colorado.edu/ark:/47540/1d5m2r25z7h9","433208","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100510","4844","mesc_miningMaps_43320800.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100510~141516"
"Mining Maps of Colorado","Plat of the Claim of C.H. Pate","CO","Boulder county","Gold Hill","Kittredge, John W.","Kittredge, John W.","","Cartographer","personal","","cartographic","1905","English","eng","iso639-2b","image/jpeg","30.5 x 43.5 cm, on sheet 34.5 x 47.5 cm","reformatted digital","","Dale Owen, New Era, Nil Desperandum, Hidden Treasure","","","","","","","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 200'","W 105° 21' 39""/N 40° 04' 30""","6th","Sec.5, T.1N.R.71W.","Center Section 5","-105.3611","40.075","W 105° 21' 39""","N 40° 04' 30""","129","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 17-1","","","","https://ark.colorado.edu/ark:/47540/wq9k7p83h2b3","433218","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100638","4844","mesc_miningMaps_43321801.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100638~141526"
"Mining Maps of Colorado","Map of Sec.35, T.1N.R.72W.","CO","Boulder county","Gold Hill","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1915","English","eng","iso639-2b","image/jpeg","54 x 60.5 cm","reformatted digital","","Merry Widow (mine shaft), Eureka (mine shaft), Livingstone (mine shaft), Recluse (mine shaft), Herald (mine shaft), Polar Star (mine shaft), Longfellow (mine shaft), Nellie Bly (mine shaft), S. and S., Yellow Star, Yankee Blade, Pennsylvania, Annie Hughes, Sampson, May, Evening Post, Lou Dillon, Artful Dodger, Corporal, Herald, Tiger Lily, Goldfield, Lord Byron, Protection, Hartford, Mabel W., Tip Top, Amanda L., Rex, T.O. Norris, Porphyry Nugget, Oklahoma, Missouri, June, Catastrophe, Wild Tiger, Miama, Pine Shade, Walker, Anchor, Golden Rule, Mt. Pisgah","","","","","North Boulder Creek, Middle Boulder Creek, Base Line","","Mines and mineral resources -- Colorado -- Boulder County","lcsh","","W 105° 25' 06""/N 40° 00' 23""","6th","Sec.35, T.1N.R.72W.","Center Section 35","-105.4185","40.0066","W 105° 25' 06""","N 40° 00' 23""","267","Local Accession Number","Warren Hollingsworth McLeod Collection","original","McLeod (no number)","","","","https://ark.colorado.edu/ark:/47540/hz022644p52z","433209","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100524","4844","mesc_miningMaps_43320900.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100524~141517"
"Mining Maps of Colorado","Map of Sec.1-4, 9-16, 21-28, T.1S.R.73W.","CO","Boulder county","Nederland","Clason Map Co.","Clason Map Co.","","Cartographer","corporate","naf","cartographic","1916","English","eng","iso639-2b","image/jpeg","65.5 x 60.5 cm, on sheet 67.5 x 65 cm","reformatted digital","Caribou","Park (placer), Carroll (placer), The Brazilian (mine shaft), St. Louis (mine shaft), New York (mine shaft), Idaho (extension), Smuggler, Devling, Olympia, Klondyke, Horseshoe (placer), Blue Bird, Mountain (mine shaft), Bravo (mine shaft), Red Spruce, Occidental, Hoosier, St. Elmo, Last Chance, Margaret, Spring Gulch (placer), Black Hawk, Rambler, Tungsten, May, Grand View, Clyde (placer), Mammoth, Little Emily, Niagara, Ace of Diamonds (placer), Porphyry, I.O.U., Buena Vista, Duchess, Rajah, Sovereign People, The Cardinal (mine shaft), The Boulder County (mine shaft), Pipe Line, Chicago (placer), Rosalind, Ivy, Myrtle, Gold Stone, Aspen, Bonanza, Puzzler, Red Bird, Lake View, Minnie, Spar, German, Happy Valley (placer), Ben Hur (placer), White Sulphur (mine shaft), Climax (mill site), Anson (placer), Horse Shoe (placer)","","","","","Park Reservoir, Coon Trail Creek, Lake Eldora, Tennessee Mountain, Middle Boulder Creek, North Boulder Creek, De Londe Creek, North Beaver Creek, Los Lagos Reservoirs, Como Creek, Conger Mine, Wolf Tongue Mill, Sherwood Creek, Denver Boulder & Western Railway","Shows Lakewood, Cardinal City, Eldora, Nederland, Blue Bird. Shows plots of land belonging to Caribou Mines & Mills Co., Tungsten Mining Milling & Exploration Co., Alton Mining & Milling Co., National Gold Mining & Leasing Co.","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 1000'","W 105° 32' 56""/N 39° 57' 52""","6th","Sec.1-4, 9-16, 21-28, T.1S.R.73W.","Center Section 15","-105.5491","39.9645","W 105° 32' 56""","N 39° 57' 52""","421","Local Accession Number","Harrison Cobb Map Collection","original","Cobb 8-5","","","","https://ark.colorado.edu/ark:/47540/kg5h7q80z5zz","433062","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1099913","4844","mesc_miningMaps_43306200.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1099913~141488"
"Mining Maps of Colorado","Map of Sec.32, T.1N.R.71W.","CO","Boulder county","Boulder","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1916","English","eng","iso639-2b","image/jpeg","63 x 72 cm","reformatted digital","","Victor (mine shaft), Marion (mine shaft), Marchioness (mine shaft),Marchioness (tunnel), Sylvanite (tunnel), The Adelaide (mine shaft), The Little Nell (mine shaft)","[Coal]","","","","Wheelman Tunnel, Middle Boulder Creek, Grimm Mill, Base Line, Millionaire Gulch","Acme Mine - Coal","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 300'","W 105° 21' 59""/N 40° 00' 29""","6th","Sec.32, T.1N.R.71W.","Center Section 17","-105.3666","40.0083","W 105° 21' 59""","N 40° 00' 29""","418","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 17-8","","","","https://ark.colorado.edu/ark:/47540/rx1r3547k6q4","433039","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1099595","4844","mesc_miningMaps_43303900.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1099595~142335"
"Mining Maps of Colorado","Map of Sec.22, T.1N.R.71W.","CO","Boulder county","Boulder","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1917","English","eng","iso639-2b","image/jpeg","56.5 x 71 cm","reformatted digital","","Clem Thomas (placer), Gold Medal (mine shaft), Ingemarsen, Pride of the Mountain, Poor Mans Relief, German Prince, Four Mile, Blue Wing, Golden Gate, Golden Star, Golden Star No.1, Grand Central, Chingis Khan, Hidden Treasure, Boulder City, Spruce Pine, Golden Bell, Ingeborg No.2","","","","","","Shows roads to Sunshine, Boulder and Four Mile Creek, Shows plots of land belonging to Trovillion, Morris and Patton","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 300'","W 105° 19' 43""/N 40° 02' 14""","6th","Sec.22, T.1N.R.71W.","Center Section 22","-105.3288","40.0374","W 105° 19' 43""","N 40° 02' 14""","448","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 17-2","","","","https://ark.colorado.edu/ark:/47540/003v4597n5ks","433193","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100316","4844","mesc_miningMaps_43319300.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100316~141501"
"Mining Maps of Colorado","Map of Sec. 22, T.1N.R.71W.","CO","Boulder county","Boulder","","","","","","","cartographic","1919","English","eng","iso639-2b","image/jpeg","35 x 57.5 cm","reformatted digital","","Chingis Khan, Pride of the Mountain, Grand Central, Gold Medal, Poor Mans Relief, German Prince, Gladstone, Golden Star No.1, Hidden Treasure, Golden Bell, Spruce Pine, Boulder City, Golden Star, Golden Gate, Blue Wing","","","","","","","Mines and mineral resources -- Colorado -- Boulder County","lcsh","","W 105° 20' 13""/N 40° 02' 36""","6th","Sec. 22, T.1N.R.71W.","Center Section 22","-105.3371","40.0434","W 105° 20' 13""","N 40° 02' 36""","266","Local Accession Number","","","","","","","https://ark.colorado.edu/ark:/47540/dq697r79k488","433213","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100578","4844","mesc_miningMaps_43321300.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100578~141521"
"Mining Maps of Colorado","Map of Sec.12, T.1N.R.72W.","CO","Boulder county","Gold Hill","Drumm, Henry A. (1857-1937)","Drumm, Henry A.","1857-1937","Cartographer","personal","naf","cartographic","1919","English","eng","iso639-2b","image/jpeg","62.5 x 66 cm","reformatted digital","Gold Hill, Summerviille","Pickel (placer), Prince Albert (mine shaft), Corona (mine shaft), Col. Joe Davis, Klondike, Sabe Jackson, Old England, Woodchuck, Prussian (mine shaft), Betsy Bobbitt, Deserted Star, Eugene, Parallel, Pilgrim, Santa Fe, Golden Age, Wedge, Mayflower, Fortune Dyke, Peach Blow, Bellevue, Comet No.2, Trumbo, Good Enough, Ingeborg, Martha, Cash, Grange, Fitzsimmons, Hogback, Makeshift, Gay Deceiver (mine shaft), Cold Spring No.1 (mine shaft), Cold Spring No.2 (mine shaft), Steppler, Mucho, Mascotte, Paris (mine shaft), Lansing (mine shaft), Admiral, Minnie B., Sarah, Creole No.1, Shiloh, Oro Cache, Wandering Jew (extension), Who Do, Spur, Iowa, Twin, Bobtail, Slide No.3, Helena, Big Horn, Mayflower No.2, Admiral","","","","","Gold Run Creek, McKnight Gulch, Aikens Gulch, Summit of Big Horn Mountain","Top left corner says ""1/4 mi. N. to Left Hand Creek"", Top right corner says ""1/2 mi. N. to Rowena""","Mines and mineral resources -- Colorado -- Boulder County","lcsh","1"" = 300'","W 105° 23' 59""/N 40° 03' 52""","6th","Sec.12, T.1N.R.72W.","Center Section 12","-105.3998","40.0645","W 105° 23' 59""","N 40° 03' 52""","438","Local Accession Number","Charles A. Wolcott Papers","original","Wolcott 20-65","","","","https://ark.colorado.edu/ark:/47540/kj1c43742952","433196","local","University of Colorado Boulder Map Library","current","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html. ","1100358","4844","mesc_miningMaps_43319600.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~85~85~1100358~141504"
